feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
Number_of_vessels_colored,15.674380165289257,0.02979920183515068,526.0,0.0,181.0,1,SVM-linear
Thal,6.633057851239667,0.011456058465008061,579.0,0.0,160.0,1,SVM-linear
Age,0.01074380165289246,0.0003704759190652572,29.0,1.0,0.0,2,SVM-linear
Sex,0.10826446280991739,0.004511019283746558,24.0,1.0,2.0,2,SVM-linear
Chest_pain_type,8.112396694214873,0.01775141508580935,457.0,0.0,180.0,2,SVM-linear
Trestbps,-0.03223140495867771,-0.016115702479338856,2.0,1.0,0.0,2,SVM-linear
Cholesterol,-0.019008264462810065,-0.002112029384756674,9.0,1.0,0.0,2,SVM-linear
Fasting_blood_sugar_.lt._120,0.0008264462809917106,0.00013774104683195176,6.0,1.0,0.0,2,SVM-linear
Resting_ecg,0.034710743801652955,0.0008900190718372553,39.0,1.0,1.0,2,SVM-linear
Max_heart_rate,-0.028925619834710703,-0.028925619834710703,1.0,1.0,0.0,2,SVM-linear
Exercise_induced_angina,-0.016528925619834767,-0.008264462809917383,2.0,1.0,0.0,2,SVM-linear
Oldpeak,0.8363636363636362,0.011004784688995213,76.0,1.0,16.0,2,SVM-linear
Slope,0.02975206611570219,0.0010625737898465068,28.0,1.0,3.0,2,SVM-linear
Number_of_vessels_colored,13.020661157024747,0.032229359299566204,404.0,0.0,165.0,2,SVM-linear
Thal,8.92644628099172,0.01992510330578509,448.0,0.0,145.0,2,SVM-linear
Age,0.1520661157024793,0.0028160391796755425,54.0,1.0,5.0,3,SVM-linear
Sex,0.14958677685950417,0.0034787622525466085,43.0,1.0,5.0,3,SVM-linear
Chest_pain_type,0.269421487603306,0.007483930211202944,36.0,1.0,7.0,3,SVM-linear
Trestbps,-0.018181818181818132,-0.0016528925619834665,11.0,1.0,0.0,3,SVM-linear
Cholesterol,-0.006611570247933851,-0.0033057851239669256,2.0,1.0,0.0,3,SVM-linear
Fasting_blood_sugar_.lt._120,-0.012396694214875992,-0.012396694214875992,1.0,1.0,0.0,3,SVM-linear
Resting_ecg,-0.01074380165289257,-0.002148760330578514,5.0,1.0,0.0,3,SVM-linear
Max_heart_rate,-0.033884297520661216,-0.006776859504132243,5.0,1.0,0.0,3,SVM-linear
Exercise_induced_angina,4.871900826446277,0.008133390361346039,599.0,0.0,169.0,3,SVM-linear
Oldpeak,0.4884297520661156,0.005956460391050191,82.0,1.0,7.0,3,SVM-linear
Slope,4.290082644628098,0.007915281632155163,542.0,0.0,140.0,3,SVM-linear
Number_of_vessels_colored,12.212396694214881,0.021886015581030253,558.0,0.0,188.0,3,SVM-linear
Thal,12.798347107438012,0.023700642791551874,540.0,0.0,194.0,3,SVM-linear
Age,0.05679012345679024,0.001774691358024695,32.0,1.0,2.0,4,SVM-linear
Sex,0.4098765432098767,0.004711224634596284,87.0,1.0,12.0,4,SVM-linear
Chest_pain_type,0.48641975308641966,0.007974094312892126,61.0,1.0,11.0,4,SVM-linear
Trestbps,0.04032921810699602,0.0012602880658436257,32.0,1.0,1.0,4,SVM-linear
Cholesterol,-0.031275720164609055,-0.002843247287691732,11.0,1.0,0.0,4,SVM-linear
Fasting_blood_sugar_.lt._120,-0.02962962962962956,-0.0007597340930674246,39.0,1.0,0.0,4,SVM-linear
Resting_ecg,-0.00823045267489697,-0.0003429355281207071,24.0,1.0,0.0,4,SVM-linear
Max_heart_rate,0.231275720164609,0.005378505120107186,43.0,1.0,7.0,4,SVM-linear
Exercise_induced_angina,7.781893004115227,0.013533726963678657,575.0,0.0,190.0,4,SVM-linear
Oldpeak,3.925102880658435,0.007282194583781883,539.0,0.0,97.0,4,SVM-linear
Slope,5.400000000000006,0.009440559440559451,572.0,0.0,161.0,4,SVM-linear
Number_of_vessels_colored,11.447736625514397,0.019978597950286905,573.0,0.0,188.0,4,SVM-linear
Thal,0.28641975308641965,0.006509539842873174,44.0,1.0,6.0,4,SVM-linear
Age,0.05020576131687238,0.004564160119715671,11.0,1.0,1.0,5,SVM-linear
Sex,0.20658436213991754,0.004303840877914949,48.0,1.0,7.0,5,SVM-linear
Chest_pain_type,4.7967078189300345,0.010227522001983015,469.0,0.0,179.0,5,SVM-linear
Trestbps,-0.038683127572016474,-0.009670781893004118,4.0,1.0,0.0,5,SVM-linear
Cholesterol,0.13991769547325103,0.0053814498258942705,26.0,1.0,3.0,5,SVM-linear
Fasting_blood_sugar_.lt._120,-0.03950617283950614,-0.0016460905349794223,24.0,1.0,0.0,5,SVM-linear
Resting_ecg,-0.023868312757201637,-0.007956104252400545,3.0,1.0,0.0,5,SVM-linear
Max_heart_rate,0.2806584362139921,0.005503106592431218,51.0,1.0,7.0,5,SVM-linear
Exercise_induced_angina,-0.02057613168724276,-0.002057613168724276,10.0,1.0,0.0,5,SVM-linear
Oldpeak,0.3218106995884773,0.007313879536101756,44.0,1.0,4.0,5,SVM-linear
Slope,0.0403292181069958,0.002240512117055322,18.0,1.0,2.0,5,SVM-linear
Number_of_vessels_colored,9.638683127572024,0.02328184330331407,414.0,0.0,175.0,5,SVM-linear
Thal,9.145679012345662,0.020644873617033096,443.0,0.0,144.0,5,SVM-linear
Age,0.05619834710743815,0.00330578512396695,17.0,1.0,1.0,1,SVM-rbf
Sex,0.1380165289256198,0.005111723293541474,27.0,1.0,6.0,1,SVM-rbf
Chest_pain_type,7.280991735537181,0.012424900572589045,586.0,0.0,187.0,1,SVM-rbf
Trestbps,-0.015702479338843,-0.0017447199265381113,9.0,1.0,0.0,1,SVM-rbf
Cholesterol,-0.04132231404958675,-0.04132231404958675,1.0,1.0,0.0,1,SVM-rbf
Fasting_blood_sugar_.lt._120,0.10165289256198362,0.0028236914600551005,36.0,1.0,1.0,1,SVM-rbf
Resting_ecg,-0.014876033057851235,-0.014876033057851235,1.0,1.0,0.0,1,SVM-rbf
Max_heart_rate,0.29917355371900833,0.006365394759978901,47.0,1.0,9.0,1,SVM-rbf
Exercise_induced_angina,3.157851239669426,0.005992127589505552,527.0,0.0,63.0,1,SVM-rbf
Oldpeak,0.1231404958677686,0.0025654269972451792,48.0,1.0,4.0,1,SVM-rbf
Slope,-0.012396694214876047,-0.003099173553719012,4.0,1.0,0.0,1,SVM-rbf
Number_of_vessels_colored,15.674380165289257,0.02979920183515068,526.0,0.0,181.0,1,SVM-rbf
Thal,6.633057851239667,0.011456058465008061,579.0,0.0,160.0,1,SVM-rbf
Age,0.01074380165289246,0.0003704759190652572,29.0,1.0,0.0,2,SVM-rbf
Sex,0.10826446280991739,0.004511019283746558,24.0,1.0,2.0,2,SVM-rbf
Chest_pain_type,8.112396694214873,0.01775141508580935,457.0,0.0,180.0,2,SVM-rbf
Trestbps,-0.03223140495867771,-0.016115702479338856,2.0,1.0,0.0,2,SVM-rbf
Cholesterol,-0.019008264462810065,-0.002112029384756674,9.0,1.0,0.0,2,SVM-rbf
Fasting_blood_sugar_.lt._120,0.0008264462809917106,0.00013774104683195176,6.0,1.0,0.0,2,SVM-rbf
Resting_ecg,0.034710743801652955,0.0008900190718372553,39.0,1.0,1.0,2,SVM-rbf
Max_heart_rate,-0.028925619834710703,-0.028925619834710703,1.0,1.0,0.0,2,SVM-rbf
Exercise_induced_angina,-0.016528925619834767,-0.008264462809917383,2.0,1.0,0.0,2,SVM-rbf
Oldpeak,0.8363636363636362,0.011004784688995213,76.0,1.0,16.0,2,SVM-rbf
Slope,0.02975206611570219,0.0010625737898465068,28.0,1.0,3.0,2,SVM-rbf
Number_of_vessels_colored,13.020661157024747,0.032229359299566204,404.0,0.0,165.0,2,SVM-rbf
Thal,8.92644628099172,0.01992510330578509,448.0,0.0,145.0,2,SVM-rbf
Age,0.1520661157024793,0.0028160391796755425,54.0,1.0,5.0,3,SVM-rbf
Sex,0.14958677685950417,0.0034787622525466085,43.0,1.0,5.0,3,SVM-rbf
Chest_pain_type,0.269421487603306,0.007483930211202944,36.0,1.0,7.0,3,SVM-rbf
Trestbps,-0.018181818181818132,-0.0016528925619834665,11.0,1.0,0.0,3,SVM-rbf
Cholesterol,-0.006611570247933851,-0.0033057851239669256,2.0,1.0,0.0,3,SVM-rbf
Fasting_blood_sugar_.lt._120,-0.012396694214875992,-0.012396694214875992,1.0,1.0,0.0,3,SVM-rbf
Resting_ecg,-0.01074380165289257,-0.002148760330578514,5.0,1.0,0.0,3,SVM-rbf
Max_heart_rate,-0.033884297520661216,-0.006776859504132243,5.0,1.0,0.0,3,SVM-rbf
Exercise_induced_angina,4.871900826446277,0.008133390361346039,599.0,0.0,169.0,3,SVM-rbf
Oldpeak,0.4884297520661156,0.005956460391050191,82.0,1.0,7.0,3,SVM-rbf
Slope,4.290082644628098,0.007915281632155163,542.0,0.0,140.0,3,SVM-rbf
Number_of_vessels_colored,12.212396694214881,0.021886015581030253,558.0,0.0,188.0,3,SVM-rbf
Thal,12.798347107438012,0.023700642791551874,540.0,0.0,194.0,3,SVM-rbf
Age,0.05679012345679024,0.001774691358024695,32.0,1.0,2.0,4,SVM-rbf
Sex,0.4098765432098767,0.004711224634596284,87.0,1.0,12.0,4,SVM-rbf
Chest_pain_type,0.48641975308641966,0.007974094312892126,61.0,1.0,11.0,4,SVM-rbf
Trestbps,0.04032921810699602,0.0012602880658436257,32.0,1.0,1.0,4,SVM-rbf
Cholesterol,-0.031275720164609055,-0.002843247287691732,11.0,1.0,0.0,4,SVM-rbf
Fasting_blood_sugar_.lt._120,-0.02962962962962956,-0.0007597340930674246,39.0,1.0,0.0,4,SVM-rbf
Resting_ecg,-0.00823045267489697,-0.0003429355281207071,24.0,1.0,0.0,4,SVM-rbf
Max_heart_rate,0.231275720164609,0.005378505120107186,43.0,1.0,7.0,4,SVM-rbf
Exercise_induced_angina,7.781893004115227,0.013533726963678657,575.0,0.0,190.0,4,SVM-rbf
Oldpeak,3.925102880658435,0.007282194583781883,539.0,0.0,97.0,4,SVM-rbf
Slope,5.400000000000006,0.009440559440559451,572.0,0.0,161.0,4,SVM-rbf
Number_of_vessels_colored,11.447736625514397,0.019978597950286905,573.0,0.0,188.0,4,SVM-rbf
Thal,0.28641975308641965,0.006509539842873174,44.0,1.0,6.0,4,SVM-rbf
Age,0.05020576131687238,0.004564160119715671,11.0,1.0,1.0,5,SVM-rbf
Sex,0.20658436213991754,0.004303840877914949,48.0,1.0,7.0,5,SVM-rbf
Chest_pain_type,4.7967078189300345,0.010227522001983015,469.0,0.0,179.0,5,SVM-rbf
Trestbps,-0.038683127572016474,-0.009670781893004118,4.0,1.0,0.0,5,SVM-rbf
Cholesterol,0.13991769547325103,0.0053814498258942705,26.0,1.0,3.0,5,SVM-rbf
Fasting_blood_sugar_.lt._120,-0.03950617283950614,-0.0016460905349794223,24.0,1.0,0.0,5,SVM-rbf
Resting_ecg,-0.023868312757201637,-0.007956104252400545,3.0,1.0,0.0,5,SVM-rbf
Max_heart_rate,0.2806584362139921,0.005503106592431218,51.0,1.0,7.0,5,SVM-rbf
Exercise_induced_angina,-0.02057613168724276,-0.002057613168724276,10.0,1.0,0.0,5,SVM-rbf
Oldpeak,0.3218106995884773,0.007313879536101756,44.0,1.0,4.0,5,SVM-rbf
Slope,0.0403292181069958,0.002240512117055322,18.0,1.0,2.0,5,SVM-rbf
Number_of_vessels_colored,9.638683127572024,0.02328184330331407,414.0,0.0,175.0,5,SVM-rbf
Thal,9.145679012345662,0.020644873617033096,443.0,0.0,144.0,5,SVM-rbf
Age,0.05619834710743815,0.00330578512396695,17.0,1.0,1.0,1,RandomForest
Sex,0.1380165289256198,0.005111723293541474,27.0,1.0,6.0,1,RandomForest
Chest_pain_type,7.280991735537181,0.012424900572589045,586.0,0.0,187.0,1,RandomForest
Trestbps,-0.015702479338843,-0.0017447199265381113,9.0,1.0,0.0,1,RandomForest
Cholesterol,-0.04132231404958675,-0.04132231404958675,1.0,1.0,0.0,1,RandomForest
Fasting_blood_sugar_.lt._120,0.10165289256198362,0.0028236914600551005,36.0,1.0,1.0,1,RandomForest
Resting_ecg,-0.014876033057851235,-0.014876033057851235,1.0,1.0,0.0,1,RandomForest
Max_heart_rate,0.29917355371900833,0.006365394759978901,47.0,1.0,9.0,1,RandomForest
Exercise_induced_angina,3.157851239669426,0.005992127589505552,527.0,0.0,63.0,1,RandomForest
Oldpeak,0.1231404958677686,0.0025654269972451792,48.0,1.0,4.0,1,RandomForest
Slope,-0.012396694214876047,-0.003099173553719012,4.0,1.0,0.0,1,RandomForest
Number_of_vessels_colored,15.674380165289257,0.02979920183515068,526.0,0.0,181.0,1,RandomForest
Thal,6.633057851239667,0.011456058465008061,579.0,0.0,160.0,1,RandomForest
Age,0.01074380165289246,0.0003704759190652572,29.0,1.0,0.0,2,RandomForest
Sex,0.10826446280991739,0.004511019283746558,24.0,1.0,2.0,2,RandomForest
Chest_pain_type,8.112396694214873,0.01775141508580935,457.0,0.0,180.0,2,RandomForest
Trestbps,-0.03223140495867771,-0.016115702479338856,2.0,1.0,0.0,2,RandomForest
Cholesterol,-0.019008264462810065,-0.002112029384756674,9.0,1.0,0.0,2,RandomForest
Fasting_blood_sugar_.lt._120,0.0008264462809917106,0.00013774104683195176,6.0,1.0,0.0,2,RandomForest
Resting_ecg,0.034710743801652955,0.0008900190718372553,39.0,1.0,1.0,2,RandomForest
Max_heart_rate,-0.028925619834710703,-0.028925619834710703,1.0,1.0,0.0,2,RandomForest
Exercise_induced_angina,-0.016528925619834767,-0.008264462809917383,2.0,1.0,0.0,2,RandomForest
Oldpeak,0.8363636363636362,0.011004784688995213,76.0,1.0,16.0,2,RandomForest
Slope,0.02975206611570219,0.0010625737898465068,28.0,1.0,3.0,2,RandomForest
Number_of_vessels_colored,13.020661157024747,0.032229359299566204,404.0,0.0,165.0,2,RandomForest
Thal,8.92644628099172,0.01992510330578509,448.0,0.0,145.0,2,RandomForest
Age,0.1520661157024793,0.0028160391796755425,54.0,1.0,5.0,3,RandomForest
Sex,0.14958677685950417,0.0034787622525466085,43.0,1.0,5.0,3,RandomForest
Chest_pain_type,0.269421487603306,0.007483930211202944,36.0,1.0,7.0,3,RandomForest
Trestbps,-0.018181818181818132,-0.0016528925619834665,11.0,1.0,0.0,3,RandomForest
Cholesterol,-0.006611570247933851,-0.0033057851239669256,2.0,1.0,0.0,3,RandomForest
Fasting_blood_sugar_.lt._120,-0.012396694214875992,-0.012396694214875992,1.0,1.0,0.0,3,RandomForest
Resting_ecg,-0.01074380165289257,-0.002148760330578514,5.0,1.0,0.0,3,RandomForest
Max_heart_rate,-0.033884297520661216,-0.006776859504132243,5.0,1.0,0.0,3,RandomForest
Exercise_induced_angina,4.871900826446277,0.008133390361346039,599.0,0.0,169.0,3,RandomForest
Oldpeak,0.4884297520661156,0.005956460391050191,82.0,1.0,7.0,3,RandomForest
Slope,4.290082644628098,0.007915281632155163,542.0,0.0,140.0,3,RandomForest
Number_of_vessels_colored,12.212396694214881,0.021886015581030253,558.0,0.0,188.0,3,RandomForest
Thal,12.798347107438012,0.023700642791551874,540.0,0.0,194.0,3,RandomForest
Age,0.05679012345679024,0.001774691358024695,32.0,1.0,2.0,4,RandomForest
Sex,0.4098765432098767,0.004711224634596284,87.0,1.0,12.0,4,RandomForest
Chest_pain_type,0.48641975308641966,0.007974094312892126,61.0,1.0,11.0,4,RandomForest
Trestbps,0.04032921810699602,0.0012602880658436257,32.0,1.0,1.0,4,RandomForest
Cholesterol,-0.031275720164609055,-0.002843247287691732,11.0,1.0,0.0,4,RandomForest
Fasting_blood_sugar_.lt._120,-0.02962962962962956,-0.0007597340930674246,39.0,1.0,0.0,4,RandomForest
Resting_ecg,-0.00823045267489697,-0.0003429355281207071,24.0,1.0,0.0,4,RandomForest
Max_heart_rate,0.231275720164609,0.005378505120107186,43.0,1.0,7.0,4,RandomForest
Exercise_induced_angina,7.781893004115227,0.013533726963678657,575.0,0.0,190.0,4,RandomForest
Oldpeak,3.925102880658435,0.007282194583781883,539.0,0.0,97.0,4,RandomForest
Slope,5.400000000000006,0.009440559440559451,572.0,0.0,161.0,4,RandomForest
Number_of_vessels_colored,11.447736625514397,0.019978597950286905,573.0,0.0,188.0,4,RandomForest
Thal,0.28641975308641965,0.006509539842873174,44.0,1.0,6.0,4,RandomForest
Age,0.05020576131687238,0.004564160119715671,11.0,1.0,1.0,5,RandomForest
Sex,0.20658436213991754,0.004303840877914949,48.0,1.0,7.0,5,RandomForest
Chest_pain_type,4.7967078189300345,0.010227522001983015,469.0,0.0,179.0,5,RandomForest
Trestbps,-0.038683127572016474,-0.009670781893004118,4.0,1.0,0.0,5,RandomForest
Cholesterol,0.13991769547325103,0.0053814498258942705,26.0,1.0,3.0,5,RandomForest
Fasting_blood_sugar_.lt._120,-0.03950617283950614,-0.0016460905349794223,24.0,1.0,0.0,5,RandomForest
Resting_ecg,-0.023868312757201637,-0.007956104252400545,3.0,1.0,0.0,5,RandomForest
Max_heart_rate,0.2806584362139921,0.005503106592431218,51.0,1.0,7.0,5,RandomForest
Exercise_induced_angina,-0.02057613168724276,-0.002057613168724276,10.0,1.0,0.0,5,RandomForest
Oldpeak,0.3218106995884773,0.007313879536101756,44.0,1.0,4.0,5,RandomForest
Slope,0.0403292181069958,0.002240512117055322,18.0,1.0,2.0,5,RandomForest
Number_of_vessels_colored,9.638683127572024,0.02328184330331407,414.0,0.0,175.0,5,RandomForest
Thal,9.145679012345662,0.020644873617033096,443.0,0.0,144.0,5,RandomForest
Age,0.05619834710743815,0.00330578512396695,17.0,1.0,1.0,1,KNN
Sex,0.1380165289256198,0.005111723293541474,27.0,1.0,6.0,1,KNN
Chest_pain_type,7.280991735537181,0.012424900572589045,586.0,0.0,187.0,1,KNN
Trestbps,-0.015702479338843,-0.0017447199265381113,9.0,1.0,0.0,1,KNN
Cholesterol,-0.04132231404958675,-0.04132231404958675,1.0,1.0,0.0,1,KNN
Fasting_blood_sugar_.lt._120,0.10165289256198362,0.0028236914600551005,36.0,1.0,1.0,1,KNN
Resting_ecg,-0.014876033057851235,-0.014876033057851235,1.0,1.0,0.0,1,KNN
Max_heart_rate,0.29917355371900833,0.006365394759978901,47.0,1.0,9.0,1,KNN
Exercise_induced_angina,3.157851239669426,0.005992127589505552,527.0,0.0,63.0,1,KNN
Oldpeak,0.1231404958677686,0.0025654269972451792,48.0,1.0,4.0,1,KNN
Slope,-0.012396694214876047,-0.003099173553719012,4.0,1.0,0.0,1,KNN
Number_of_vessels_colored,15.674380165289257,0.02979920183515068,526.0,0.0,181.0,1,KNN
Thal,6.633057851239667,0.011456058465008061,579.0,0.0,160.0,1,KNN
Age,0.01074380165289246,0.0003704759190652572,29.0,1.0,0.0,2,KNN
Sex,0.10826446280991739,0.004511019283746558,24.0,1.0,2.0,2,KNN
Chest_pain_type,8.112396694214873,0.01775141508580935,457.0,0.0,180.0,2,KNN
Trestbps,-0.03223140495867771,-0.016115702479338856,2.0,1.0,0.0,2,KNN
Cholesterol,-0.019008264462810065,-0.002112029384756674,9.0,1.0,0.0,2,KNN
Fasting_blood_sugar_.lt._120,0.0008264462809917106,0.00013774104683195176,6.0,1.0,0.0,2,KNN
Resting_ecg,0.034710743801652955,0.0008900190718372553,39.0,1.0,1.0,2,KNN
Max_heart_rate,-0.028925619834710703,-0.028925619834710703,1.0,1.0,0.0,2,KNN
Exercise_induced_angina,-0.016528925619834767,-0.008264462809917383,2.0,1.0,0.0,2,KNN
Oldpeak,0.8363636363636362,0.011004784688995213,76.0,1.0,16.0,2,KNN
Slope,0.02975206611570219,0.0010625737898465068,28.0,1.0,3.0,2,KNN
Number_of_vessels_colored,13.020661157024747,0.032229359299566204,404.0,0.0,165.0,2,KNN
Thal,8.92644628099172,0.01992510330578509,448.0,0.0,145.0,2,KNN
Age,0.1520661157024793,0.0028160391796755425,54.0,1.0,5.0,3,KNN
Sex,0.14958677685950417,0.0034787622525466085,43.0,1.0,5.0,3,KNN
Chest_pain_type,0.269421487603306,0.007483930211202944,36.0,1.0,7.0,3,KNN
Trestbps,-0.018181818181818132,-0.0016528925619834665,11.0,1.0,0.0,3,KNN
Cholesterol,-0.006611570247933851,-0.0033057851239669256,2.0,1.0,0.0,3,KNN
Fasting_blood_sugar_.lt._120,-0.012396694214875992,-0.012396694214875992,1.0,1.0,0.0,3,KNN
Resting_ecg,-0.01074380165289257,-0.002148760330578514,5.0,1.0,0.0,3,KNN
Max_heart_rate,-0.033884297520661216,-0.006776859504132243,5.0,1.0,0.0,3,KNN
Exercise_induced_angina,4.871900826446277,0.008133390361346039,599.0,0.0,169.0,3,KNN
Oldpeak,0.4884297520661156,0.005956460391050191,82.0,1.0,7.0,3,KNN
Slope,4.290082644628098,0.007915281632155163,542.0,0.0,140.0,3,KNN
Number_of_vessels_colored,12.212396694214881,0.021886015581030253,558.0,0.0,188.0,3,KNN
