fold,measure,n_features,top_features,acc_train,gps_train,acc_test,gps_test,complexity_Hostility,complexity_N1,complexity_kDN,model
4,N1_importances_norm,70,"['f89', 'f58', 'f66', 'f46', 'f104', 'f138', 'f53', 'f35', 'f0', 'f69', 'f48', 'f10', 'f65', 'f23', 'f181', 'f2', 'f83', 'f36', 'f87', 'f131', 'f98', 'f80', 'f96', 'f57', 'f39', 'f72', 'f6', 'f154', 'f145', 'f108', 'f172', 'f25', 'f148', 'f16', 'f143', 'f7', 'f151', 'f175', 'f81', 'f38', 'f52', 'f68', 'f109', 'f163', 'f129', 'f155', 'f61', 'f47', 'f19', 'f189', 'f116', 'f86', 'f170', 'f161', 'f118', 'f71', 'f136', 'f22', 'f176', 'f11', 'f160', 'f40', 'f42', 'f31', 'f37', 'f147', 'f93', 'f51', 'f135', 'f54']",0.8675,0.8310753093110195,0.66,0.18577648766328012,0.3025,0.40220783730158727,0.4075,SVM-rbf
4,kDN_importances_norm,70,"['f53', 'f70', 'f1', 'f135', 'f25', 'f7', 'f71', 'f10', 'f59', 'f136', 'f94', 'f141', 'f66', 'f29', 'f77', 'f176', 'f161', 'f43', 'f134', 'f116', 'f45', 'f54', 'f56', 'f47', 'f88', 'f110', 'f48', 'f155', 'f34', 'f96', 'f68', 'f105', 'f185', 'f81', 'f37', 'f86', 'f61', 'f31', 'f69', 'f52', 'f62', 'f79', 'f15', 'f78', 'f131', 'f19', 'f17', 'f27', 'f22', 'f172', 'f11', 'f102', 'f159', 'f30', 'f87', 'f189', 'f180', 'f93', 'f42', 'f9', 'f39', 'f160', 'f154', 'f49', 'f80', 'f8', 'f97', 'f2', 'f91', 'f151']",0.875,0.8424842484248425,0.66,0.18577648766328012,0.31,0.40426839826839833,0.42700000000000005,SVM-rbf
5,Hostility_importances_norm,70,"['f34', 'f68', 'f21', 'f55', 'f50', 'f106', 'f0', 'f13', 'f26', 'f73', 'f93', 'f186', 'f175', 'f92', 'f105', 'f100', 'f74', 'f42', 'f35', 'f38', 'f141', 'f64', 'f102', 'f180', 'f91', 'f22', 'f17', 'f87', 'f135', 'f69', 'f7', 'f120', 'f46', 'f8', 'f66', 'f86', 'f79', 'f118', 'f44', 'f138', 'f110', 'f15', 'f81', 'f147', 'f23', 'f109', 'f161', 'f189', 'f94', 'f47', 'f25', 'f56', 'f45', 'f155', 'f11', 'f59', 'f18', 'f172', 'f67', 'f80', 'f104', 'f6', 'f41', 'f54', 'f140', 'f51', 'f39', 'f48', 'f20', 'f148']",0.8325,0.772872107583146,0.64,0.09859154929577464,0.3475,0.4280013528138528,0.4495,SVM-rbf
5,N1_importances_norm,70,"['f12', 'f44', 'f85', 'f98', 'f118', 'f19', 'f36', 'f102', 'f96', 'f100', 'f148', 'f84', 'f57', 'f124', 'f108', 'f33', 'f51', 'f14', 'f29', 'f104', 'f189', 'f110', 'f111', 'f131', 'f105', 'f22', 'f58', 'f106', 'f16', 'f20', 'f7', 'f120', 'f59', 'f175', 'f86', 'f8', 'f77', 'f145', 'f47', 'f83', 'f94', 'f87', 'f159', 'f91', 'f49', 'f180', 'f62', 'f136', 'f161', 'f172', 'f66', 'f155', 'f9', 'f147', 'f0', 'f160', 'f97', 'f170', 'f73', 'f1', 'f28', 'f154', 'f109', 'f41', 'f186', 'f15', 'f6', 'f11', 'f171', 'f56']",0.825,0.7591240875912408,0.66,0.18577648766328012,0.3325,0.4086935761606814,0.4325,SVM-rbf
5,kDN_importances_norm,70,"['f46', 'f42', 'f54', 'f79', 'f95', 'f110', 'f36', 'f67', 'f125', 'f60', 'f99', 'f118', 'f78', 'f120', 'f172', 'f101', 'f107', 'f15', 'f31', 'f56', 'f73', 'f176', 'f29', 'f66', 'f97', 'f16', 'f22', 'f69', 'f141', 'f81', 'f33', 'f129', 'f86', 'f151', 'f28', 'f30', 'f85', 'f100', 'f47', 'f186', 'f170', 'f155', 'f94', 'f1', 'f80', 'f154', 'f98', 'f138', 'f12', 'f159', 'f106', 'f160', 'f175', 'f89', 'f147', 'f171', 'f126', 'f143', 'f5', 'f105', 'f102', 'f180', 'f145', 'f161', 'f124', 'f140', 'f51', 'f77', 'f43', 'f74']",0.8025,0.714422459712384,0.64,0.0,0.365,0.457356848195664,0.45050000000000007,SVM-rbf
1,Hostility_importances_norm,70,"['f45', 'f126', 'f171', 'f101', 'f140', 'f97', 'f145', 'f11', 'f87', 'f37', 'f78', 'f104', 'f83', 'f85', 'f111', 'f110', 'f48', 'f108', 'f148', 'f75', 'f2', 'f172', 'f154', 'f14', 'f61', 'f84', 'f36', 'f134', 'f47', 'f44', 'f73', 'f60', 'f189', 'f56', 'f176', 'f5', 'f89', 'f62', 'f91', 'f31', 'f185', 'f155', 'f72', 'f23', 'f39', 'f170', 'f102', 'f141', 'f95', 'f106', 'f33', 'f53', 'f7', 'f174', 'f64', 'f107', 'f3', 'f103', 'f15', 'f8', 'f66', 'f12', 'f159', 'f109', 'f46', 'f28', 'f186', 'f99', 'f81', 'f22']",0.7375,0.6510213048817585,0.65,0.38363587103765917,0.345,0.4267436338171632,0.442,KNN
1,N1_importances_norm,70,"['f46', 'f37', 'f171', 'f56', 'f131', 'f4', 'f15', 'f126', 'f33', 'f98', 'f2', 'f111', 'f66', 'f11', 'f89', 'f31', 'f102', 'f45', 'f24', 'f151', 'f141', 'f68', 'f39', 'f84', 'f104', 'f138', 'f86', 'f65', 'f110', 'f29', 'f44', 'f77', 'f143', 'f1', 'f80', 'f30', 'f7', 'f18', 'f99', 'f38', 'f148', 'f118', 'f3', 'f79', 'f5', 'f62', 'f53', 'f161', 'f172', 'f83', 'f74', 'f154', 'f170', 'f159', 'f32', 'f134', 'f175', 'f176', 'f85', 'f49', 'f155', 'f63', 'f48', 'f106', 'f145', 'f10', 'f73', 'f23', 'f60', 'f180']",0.7775,0.7048360437216741,0.66,0.5188679245283019,0.3225,0.34699693362193357,0.4045,KNN
1,kDN_importances_norm,70,"['f129', 'f53', 'f67', 'f12', 'f5', 'f7', 'f82', 'f145', 'f98', 'f69', 'f104', 'f63', 'f19', 'f27', 'f13', 'f86', 'f96', 'f120', 'f135', 'f174', 'f70', 'f108', 'f20', 'f32', 'f99', 'f11', 'f116', 'f171', 'f23', 'f77', 'f163', 'f8', 'f2', 'f29', 'f79', 'f175', 'f1', 'f154', 'f138', 'f106', 'f49', 'f141', 'f124', 'f80', 'f45', 'f102', 'f4', 'f161', 'f134', 'f160', 'f159', 'f155', 'f33', 'f94', 'f14', 'f59', 'f136', 'f66', 'f170', 'f84', 'f89', 'f140', 'f151', 'f0', 'f43', 'f147', 'f25', 'f3', 'f91', 'f78']",0.755,0.6705112219451372,0.58,0.26181818181818184,0.295,0.42057581654456655,0.41300000000000003,KNN
2,Hostility_importances_norm,70,"['f75', 'f19', 'f103', 'f22', 'f145', 'f50', 'f44', 'f61', 'f105', 'f52', 'f116', 'f151', 'f60', 'f69', 'f59', 'f78', 'f15', 'f92', 'f3', 'f84', 'f53', 'f108', 'f79', 'f129', 'f16', 'f13', 'f68', 'f80', 'f174', 'f42', 'f62', 'f34', 'f155', 'f11', 'f147', 'f106', 'f124', 'f83', 'f176', 'f118', 'f74', 'f24', 'f76', 'f66', 'f175', 'f14', 'f51', 'f54', 'f185', 'f32', 'f64', 'f45', 'f161', 'f94', 'f136', 'f163', 'f2', 'f186', 'f48', 'f67', 'f12', 'f41', 'f135', 'f82', 'f46', 'f39', 'f107', 'f98', 'f180', 'f110']",0.7275,0.6518947749646068,0.66,0.5512,0.2925,0.4315790043290043,0.44550000000000006,KNN
2,N1_importances_norm,70,"['f55', 'f8', 'f54', 'f72', 'f18', 'f25', 'f24', 'f58', 'f148', 'f42', 'f37', 'f46', 'f49', 'f59', 'f31', 'f126', 'f186', 'f147', 'f138', 'f105', 'f10', 'f82', 'f11', 'f9', 'f81', 'f102', 'f125', 'f39', 'f154', 'f135', 'f62', 'f0', 'f71', 'f159', 'f61', 'f23', 'f19', 'f91', 'f48', 'f73', 'f163', 'f14', 'f16', 'f65', 'f118', 'f70', 'f3', 'f34', 'f6', 'f35', 'f145', 'f155', 'f79', 'f98', 'f110', 'f22', 'f172', 'f78', 'f47', 'f170', 'f90', 'f175', 'f131', 'f108', 'f160', 'f161', 'f69', 'f51', 'f76', 'f52']",0.7625,0.6963774873992727,0.65,0.46982055464926586,0.26,0.3941275946275946,0.42,KNN
2,kDN_importances_norm,70,"['f34', 'f14', 'f59', 'f46', 'f51', 'f140', 'f60', 'f107', 'f172', 'f101', 'f48', 'f74', 'f32', 'f88', 'f29', 'f0', 'f37', 'f65', 'f95', 'f67', 'f70', 'f21', 'f108', 'f16', 'f98', 'f69', 'f1', 'f78', 'f58', 'f3', 'f110', 'f136', 'f151', 'f105', 'f57', 'f81', 'f24', 'f42', 'f30', 'f72', 'f124', 'f134', 'f15', 'f38', 'f31', 'f154', 'f174', 'f175', 'f27', 'f28', 'f160', 'f161', 'f89', 'f170', 'f66', 'f102', 'f44', 'f39', 'f53', 'f180', 'f7', 'f5', 'f118', 'f76', 'f64', 'f92', 'f155', 'f35', 'f181', 'f104']",0.735,0.6211340206185567,0.63,0.45473684210526316,0.3625,0.4300209859584859,0.41800000000000004,KNN
3,Hostility_importances_norm,70,"['f180', 'f46', 'f77', 'f27', 'f0', 'f88', 'f50', 'f136', 'f31', 'f97', 'f65', 'f129', 'f102', 'f36', 'f181', 'f54', 'f12', 'f141', 'f116', 'f37', 'f175', 'f34', 'f29', 'f93', 'f120', 'f138', 'f48', 'f71', 'f57', 'f92', 'f104', 'f109', 'f58', 'f66', 'f38', 'f9', 'f151', 'f69', 'f4', 'f53', 'f39', 'f80', 'f61', 'f3', 'f64', 'f45', 'f185', 'f131', 'f49', 'f74', 'f143', 'f47', 'f91', 'f60', 'f108', 'f106', 'f95', 'f5', 'f126', 'f163', 'f28', 'f43', 'f160', 'f52', 'f81', 'f101', 'f22', 'f41', 'f83', 'f1']",0.7725,0.7062093176332919,0.66,0.4995539696699376,0.3,0.41903731684981677,0.4155,KNN
3,N1_importances_norm,70,"['f103', 'f104', 'f99', 'f95', 'f44', 'f55', 'f48', 'f72', 'f3', 'f10', 'f118', 'f87', 'f105', 'f42', 'f70', 'f24', 'f81', 'f84', 'f2', 'f108', 'f7', 'f52', 'f65', 'f15', 'f75', 'f129', 'f46', 'f116', 'f185', 'f145', 'f102', 'f57', 'f19', 'f67', 'f62', 'f125', 'f189', 'f56', 'f88', 'f90', 'f27', 'f154', 'f4', 'f35', 'f131', 'f172', 'f37', 'f170', 'f12', 'f120', 'f175', 'f126', 'f66', 'f176', 'f160', 'f147', 'f54', 'f135', 'f161', 'f61', 'f180', 'f1', 'f89', 'f181', 'f111', 'f94', 'f159', 'f9', 'f49', 'f124']",0.7325,0.5959870616889392,0.7,0.4224422442244224,0.345,0.41399152236652237,0.41450000000000004,KNN
3,kDN_importances_norm,70,"['f61', 'f78', 'f34', 'f91', 'f22', 'f50', 'f92', 'f60', 'f103', 'f83', 'f105', 'f27', 'f79', 'f185', 'f124', 'f2', 'f46', 'f66', 'f82', 'f77', 'f1', 'f140', 'f85', 'f20', 'f16', 'f11', 'f36', 'f14', 'f141', 'f64', 'f111', 'f51', 'f163', 'f93', 'f30', 'f38', 'f15', 'f116', 'f134', 'f186', 'f37', 'f143', 'f154', 'f19', 'f145', 'f155', 'f175', 'f131', 'f58', 'f56', 'f159', 'f88', 'f160', 'f84', 'f161', 'f24', 'f180', 'f44', 'f81', 'f4', 'f170', 'f59', 'f80', 'f0', 'f70', 'f181', 'f47', 'f10', 'f104', 'f71']",0.745,0.6706968278731149,0.61,0.41619631901840487,0.335,0.45114354395604395,0.42800000000000005,KNN
4,Hostility_importances_norm,70,"['f50', 'f72', 'f45', 'f186', 'f69', 'f26', 'f4', 'f106', 'f93', 'f107', 'f55', 'f37', 'f163', 'f105', 'f145', 'f49', 'f52', 'f42', 'f171', 'f174', 'f54', 'f77', 'f181', 'f125', 'f161', 'f10', 'f46', 'f1', 'f28', 'f189', 'f35', 'f6', 'f180', 'f74', 'f47', 'f22', 'f147', 'f29', 'f86', 'f172', 'f140', 'f129', 'f148', 'f40', 'f48', 'f143', 'f124', 'f155', 'f38', 'f80', 'f11', 'f27', 'f31', 'f51', 'f65', 'f15', 'f41', 'f61', 'f57', 'f13', 'f19', 'f111', 'f66', 'f33', 'f154', 'f81', 'f89', 'f5', 'f99', 'f97']",0.7475,0.6730825439783492,0.57,0.2979089086221713,0.3075,0.39127720208317934,0.42450000000000004,KNN
4,N1_importances_norm,70,"['f89', 'f58', 'f66', 'f46', 'f104', 'f138', 'f53', 'f35', 'f0', 'f69', 'f48', 'f10', 'f65', 'f23', 'f181', 'f2', 'f83', 'f36', 'f87', 'f131', 'f98', 'f80', 'f96', 'f57', 'f39', 'f72', 'f6', 'f154', 'f145', 'f108', 'f172', 'f25', 'f148', 'f16', 'f143', 'f7', 'f151', 'f175', 'f81', 'f38', 'f52', 'f68', 'f109', 'f163', 'f129', 'f155', 'f61', 'f47', 'f19', 'f189', 'f116', 'f86', 'f170', 'f161', 'f118', 'f71', 'f136', 'f22', 'f176', 'f11', 'f160', 'f40', 'f42', 'f31', 'f37', 'f147', 'f93', 'f51', 'f135', 'f54']",0.7725,0.6879515264507108,0.6,0.35064935064935066,0.3025,0.40220783730158727,0.4075,KNN
4,kDN_importances_norm,70,"['f53', 'f70', 'f1', 'f135', 'f25', 'f7', 'f71', 'f10', 'f59', 'f136', 'f94', 'f141', 'f66', 'f29', 'f77', 'f176', 'f161', 'f43', 'f134', 'f116', 'f45', 'f54', 'f56', 'f47', 'f88', 'f110', 'f48', 'f155', 'f34', 'f96', 'f68', 'f105', 'f185', 'f81', 'f37', 'f86', 'f61', 'f31', 'f69', 'f52', 'f62', 'f79', 'f15', 'f78', 'f131', 'f19', 'f17', 'f27', 'f22', 'f172', 'f11', 'f102', 'f159', 'f30', 'f87', 'f189', 'f180', 'f93', 'f42', 'f9', 'f39', 'f160', 'f154', 'f49', 'f80', 'f8', 'f97', 'f2', 'f91', 'f151']",0.7575,0.7013079401213427,0.6,0.4732221246707637,0.31,0.40426839826839833,0.42700000000000005,KNN
5,Hostility_importances_norm,70,"['f34', 'f68', 'f21', 'f55', 'f50', 'f106', 'f0', 'f13', 'f26', 'f73', 'f93', 'f186', 'f175', 'f92', 'f105', 'f100', 'f74', 'f42', 'f35', 'f38', 'f141', 'f64', 'f102', 'f180', 'f91', 'f22', 'f17', 'f87', 'f135', 'f69', 'f7', 'f120', 'f46', 'f8', 'f66', 'f86', 'f79', 'f118', 'f44', 'f138', 'f110', 'f15', 'f81', 'f147', 'f23', 'f109', 'f161', 'f189', 'f94', 'f47', 'f25', 'f56', 'f45', 'f155', 'f11', 'f59', 'f18', 'f172', 'f67', 'f80', 'f104', 'f6', 'f41', 'f54', 'f140', 'f51', 'f39', 'f48', 'f20', 'f148']",0.7025,0.5762441231260534,0.55,0.3221035332785538,0.3475,0.4280013528138528,0.4495,KNN
5,N1_importances_norm,70,"['f12', 'f44', 'f85', 'f98', 'f118', 'f19', 'f36', 'f102', 'f96', 'f100', 'f148', 'f84', 'f57', 'f124', 'f108', 'f33', 'f51', 'f14', 'f29', 'f104', 'f189', 'f110', 'f111', 'f131', 'f105', 'f22', 'f58', 'f106', 'f16', 'f20', 'f7', 'f120', 'f59', 'f175', 'f86', 'f8', 'f77', 'f145', 'f47', 'f83', 'f94', 'f87', 'f159', 'f91', 'f49', 'f180', 'f62', 'f136', 'f161', 'f172', 'f66', 'f155', 'f9', 'f147', 'f0', 'f160', 'f97', 'f170', 'f73', 'f1', 'f28', 'f154', 'f109', 'f41', 'f186', 'f15', 'f6', 'f11', 'f171', 'f56']",0.7025,0.5248454706927176,0.65,0.34532374100719426,0.3325,0.4086935761606814,0.4325,KNN
5,kDN_importances_norm,70,"['f46', 'f42', 'f54', 'f79', 'f95', 'f110', 'f36', 'f67', 'f125', 'f60', 'f99', 'f118', 'f78', 'f120', 'f172', 'f101', 'f107', 'f15', 'f31', 'f56', 'f73', 'f176', 'f29', 'f66', 'f97', 'f16', 'f22', 'f69', 'f141', 'f81', 'f33', 'f129', 'f86', 'f151', 'f28', 'f30', 'f85', 'f100', 'f47', 'f186', 'f170', 'f155', 'f94', 'f1', 'f80', 'f154', 'f98', 'f138', 'f12', 'f159', 'f106', 'f160', 'f175', 'f89', 'f147', 'f171', 'f126', 'f143', 'f5', 'f105', 'f102', 'f180', 'f145', 'f161', 'f124', 'f140', 'f51', 'f77', 'f43', 'f74']",0.71,0.6110507674144039,0.62,0.4688908926961226,0.365,0.457356848195664,0.45050000000000007,KNN
