feature,level,Hostility,N1,kDN
f0,0,0.478,0.485,0.5092
f0,1,0.436,0.486,0.49560000000000004
f0,dataset,0.457,0.4855,0.5024000000000001
f1,0,0.404,0.475,0.4772
f1,1,0.354,0.476,0.48519999999999996
f1,dataset,0.379,0.4755,0.48119999999999996
f10,0,0.316,0.496,0.48960000000000004
f10,1,0.36,0.497,0.5012
f10,dataset,0.338,0.4965,0.4954
f11,0,0.37,0.5,0.5076
f11,1,0.334,0.5,0.51
f11,dataset,0.352,0.5,0.5087999999999999
f12,0,0.206,0.355,0.3452
f12,1,0.256,0.355,0.3448
f12,dataset,0.231,0.355,0.345
f13,0,0.362,0.47,0.4952
f13,1,0.286,0.47,0.48760000000000003
f13,dataset,0.324,0.47,0.4914
f14,0,0.388,0.458,0.476
f14,1,0.422,0.458,0.486
f14,dataset,0.405,0.458,0.481
f15,0,0.242,0.436,0.4472
f15,1,0.384,0.436,0.4512
f15,dataset,0.313,0.436,0.44920000000000004
f16,0,0.398,0.45,0.436
f16,1,0.232,0.45,0.4504
f16,dataset,0.315,0.45,0.4432
f17,0,0.356,0.438,0.4532
f17,1,0.26,0.4366666666666667,0.4452
f17,dataset,0.308,0.4373333333333333,0.4492
f2,0,0.294,0.377,0.3916
f2,1,0.332,0.377,0.3932
f2,dataset,0.313,0.377,0.3924
f3,0,0.356,0.514,0.5036
f3,1,0.326,0.514,0.51
f3,dataset,0.341,0.514,0.5067999999999999
f4,0,0.35,0.495,0.492
f4,1,0.316,0.496,0.49319999999999997
f4,dataset,0.333,0.4955,0.49260000000000004
f5,0,0.494,0.514,0.5116
f5,1,0.406,0.514,0.4928
f5,dataset,0.45,0.514,0.5022000000000001
f6,0,0.392,0.501,0.496
f6,1,0.28,0.5,0.5024000000000001
f6,dataset,0.336,0.5005,0.49920000000000003
f7,0,0.286,0.456,0.47640000000000005
f7,1,0.362,0.456,0.4672
f7,dataset,0.324,0.456,0.4718
f8,0,0.24,0.365,0.36440000000000006
f8,1,0.278,0.365,0.368
f8,dataset,0.259,0.365,0.3662
f9,0,0.232,0.393,0.38280000000000003
f9,1,0.316,0.393,0.3824
f9,dataset,0.274,0.393,0.3826
