Dataset,Subset,Hostility,kDN,DCP,TD_U,CLD,N1,N2,LSC,F1,L1,n_features,mean_acc_mean,mean_acc_max,mean_acc_std,mean_gps_mean,mean_gps_max,mean_gps_std,mean_acc_class_0_mean,mean_acc_class_0_max,mean_acc_class_0_std,mean_acc_class_1_mean,mean_acc_class_1_max,mean_acc_class_1_std
ArtificialDataset2,all,0.096,0.1308,0.10201428041688074,0.67175,0.24767269208070208,0.10108214285714286,0.4239271289821293,0.9768957915831663,0.9842222222222223,0.4837315383473109,18.0,0.8957499999999999,0.9629999999999999,0.05129397068439358,0.8955543150801532,0.9629899299971669,0.05149353573644555,0.8927499999999999,0.9519999999999997,0.047796443382327025,0.89875,0.974,0.057240719771854666
ArtificialDataset2,informative,0.078,0.10740000000000001,0.08808779419550414,0.5933333333333334,0.249648473024055,0.06775238095238095,0.40290397863161004,0.9713527054108215,0.9836,0.42272114375965764,10.0,0.903375,0.9770000000000001,0.05941605723323333,0.9031986007646741,0.976995530688281,0.05962405897035381,0.90025,0.97,0.05983250430517322,0.9065,0.984,0.06024473895228174
ArtificialDataset2,informative+redundant,0.087,0.1152,0.10504066384890992,0.6475,0.2643102561735992,0.09480952380952382,0.40250390105081096,0.9715711422845691,0.982,0.470010222636858,14.0,0.8971250000000001,0.9710000000000001,0.05941485504484549,0.8969240017851171,0.9709911373238953,0.05963184799758704,0.89425,0.962,0.06056342602122645,0.9,0.9800000000000001,0.060728905802755896
ArtificialDataset2,informative+redundant_nonLinear,0.069,0.11120000000000001,0.023132549045812762,0.6501818181818181,0.24599759455287967,0.08466666666666665,0.40412748594803155,0.9744509018036072,0.9844166666666666,0.4284638406288479,12.0,0.9008750000000001,0.9710000000000001,0.05574287270264116,0.9007040046221031,0.9709934585272751,0.05590510189099229,0.8945,0.9639999999999999,0.059663341221509555,0.90725,0.9780000000000001,0.052611106920768896
ArtificialDataset2,informative+noise,0.105,0.13740000000000002,0.08808779419550414,0.5975,0.24547781540558197,0.0903547619047619,0.4298603857242511,0.9797795591182364,0.9855833333333333,0.4502628909250076,12.0,0.897625,0.9650000000000001,0.05392570947940462,0.8974338363760332,0.9649846963337531,0.054132338012912395,0.8925000000000001,0.958,0.052793397855630156,0.90275,0.9719999999999999,0.05622340641202224
ArtificialDataset2,informative+rand_extra,0.09,0.1264,0.13765366852038152,0.5989230769230769,0.26584807038043434,0.09677380952380951,0.41838080092490737,0.9761102204408818,0.9831538461538462,0.4700982696943589,13.0,0.8935,0.9629999999999999,0.057582239325283946,0.893353370121338,0.9629831757761569,0.05771443572379679,0.88925,0.95,0.05681989088338688,0.89775,0.9760000000000002,0.059985117201805056
ArtificialDataset2,mutual_info_top10,0.114,0.1792,0.14430743476087743,0.3992857142857143,0.2773734809225274,0.1641,0.41118793759547734,0.9810621242484969,0.9783000000000001,0.14143544615465628,10.0,0.856,0.909,0.043503694424398366,0.8555900559135257,0.9088328919191134,0.04362630034599856,0.876,0.9359999999999999,0.048837924373818904,0.8360000000000001,0.89,0.04313434163832144
ArtificialDataset2,f_classif_top10,0.131,0.19140000000000001,0.1955965750979041,0.574923076923077,0.2829358316689654,0.17861666666666667,0.4226526443915183,0.9789218436873748,0.9805,0.5085995906694272,10.0,0.847125,0.898,0.039872788787772125,0.8468092409521742,0.8977058569663467,0.03989124864602362,0.8645,0.932,0.04849447685782664,0.82975,0.8720000000000001,0.03362715739228809
ArtificialDataset2,rf_top10,0.096,0.128,0.06599065481398816,0.6343333333333333,0.25863336067256015,0.11078333333333333,0.3906313510680183,0.9618436873747496,0.9783,0.05753670100510358,10.0,0.8734999999999999,0.933,0.05111890899797114,0.8732514071645309,0.9329563482254674,0.05130487027372924,0.87675,0.9399999999999998,0.054331653494335726,0.87025,0.9259999999999999,0.051640930610182725
ArtificialDataset2,relief_top10,0.096,0.128,0.11277792796618563,0.6343333333333333,0.25863336067256015,0.11078333333333333,0.3906313510680183,0.9618436873747496,0.9783,0.05753670109476626,10.0,0.8755,0.933,0.05137536930697991,0.875249258469288,0.9329563482254674,0.051584198069021224,0.87825,0.9399999999999998,0.055430136207662274,0.87275,0.9259999999999999,0.05116848918733366
ArtificialDataset2,xgb_top10,0.095,0.1354,0.023307709948319502,0.62025,0.23981892229075993,0.108,0.402796573925109,0.9739819639278557,0.9812000000000001,0.4516605077249424,10.0,0.884875,0.9400000000000001,0.04796259703441537,0.8846981055871742,0.9399820741993125,0.048048370462250876,0.88075,0.946,0.059251883634916735,0.889,0.9339999999999999,0.0413210427195221
